date,open,close,high,low,volume,middle_band,std,upper_band,lower_band,signal,position,prev_close,limit_up,limit_down,portfolio,cash,trade_executed,returns,max_drawdown
2024-04-30,1586.07,1586.06,1609.21,1586.06,3075989.0,1563.23,24.203170953630405,1611.6363419072609,1514.8236580927392,0,50.0,1585.13,1743.6430000000003,1426.6170000000002,79556.87213285273,253.87213285273174,0,0.0005848293593986309,0.22585179611335382
2024-05-06,1613.01,1637.41,1641.88,1606.53,5990949.0,1565.038,28.211467358619412,1621.4609347172388,1508.6150652827612,0,50.0,1586.06,1744.6660000000002,1427.454,82124.37213285273,253.87213285273174,0,0.03227251060992575,0.20086808998976702
2024-05-07,1642.61,1646.53,1653.78,1634.14,2492452.0,1567.6435,33.05794152139105,1633.759383042782,1501.5276169572178,0,50.0,1637.41,1801.1510000000003,1473.669,82580.37213285273,253.87213285273174,0,0.005552553866254639,0.19643086701319232
2024-05-08,1646.24,1640.92,1646.5,1633.2,1476909.0,1569.916,36.45875007240699,1642.833500144814,1496.9984998551859,-1,0.0,1646.53,1811.1830000000002,1481.877,74325.49397785272,74325.49397785272,-1,-0.09996174565210025,0.2767570402986983
2024-05-09,1635.36,1633.5,1641.86,1627.92,2238734.0,1574.0710000000001,38.77895453383153,1651.6289090676632,1496.513090932337,0,0.0,1640.92,1805.0120000000002,1476.8280000000002,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-10,1638.25,1617.67,1644.55,1613.03,2620661.0,1577.641,39.366976662922404,1656.374953325845,1498.9070466741553,0,0.0,1633.5,1796.8500000000001,1470.15,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-13,1611.2,1586.99,1611.79,1582.54,3766212.0,1580.3395,37.97239322330622,1656.2842864466124,1504.3947135533876,0,0.0,1617.67,1779.4370000000001,1455.903,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-14,1586.98,1583.25,1593.75,1581.42,2127417.0,1582.85,36.30378144723426,1655.4575628944685,1510.2424371055313,0,0.0,1586.99,1745.689,1428.291,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-15,1583.81,1581.41,1588.85,1580.1,1573876.0,1585.9185,33.1741735747637,1652.2668471495274,1519.5701528504726,0,0.0,1583.25,1741.575,1424.925,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-16,1586.06,1585.6,1590.6,1572.11,2967954.0,1587.3849999999998,32.434586396884605,1652.254172793769,1522.5158272062306,0,0.0,1581.41,1739.5510000000002,1423.269,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-17,1581.42,1595.36,1596.83,1581.41,2892388.0,1589.4779999999998,31.469149403990208,1652.4162988079802,1526.5397011920195,0,0.0,1585.6,1744.16,1427.04,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-20,1598.14,1589.78,1612.1,1588.95,3142572.0,1591.4315000000001,30.11962994722921,1651.6707598944586,1531.1922401055417,0,0.0,1595.36,1754.896,1435.8239999999998,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-21,1588.85,1586.06,1590.46,1579.7,1629339.0,1593.023,28.865289681920498,1650.7535793638408,1535.292420636159,0,0.0,1589.78,1748.758,1430.802,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-22,1584.2,1579.28,1590.67,1573.04,2028568.0,1595.3985,25.292992637864785,1645.9844852757296,1544.8125147242704,0,0.0,1586.06,1744.6660000000002,1427.454,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-23,1581.41,1573.98,1587.34,1572.18,1888497.0,1596.1870000000001,24.298913794223036,1644.7848275884462,1547.589172411554,0,0.0,1579.28,1737.208,1421.352,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-24,1574.9,1560.09,1576.76,1560.01,2021663.0,1595.48,25.16178556127752,1645.803571122555,1545.156428877445,0,0.0,1573.98,1731.3780000000002,1416.582,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-27,1560.94,1553.61,1569.74,1551.65,2509791.0,1594.3875,26.514761504334025,1647.4170230086681,1541.357976991332,0,0.0,1560.09,1716.0990000000002,1404.081,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-28,1553.87,1548.52,1558.31,1546.99,2352087.0,1593.0665,28.142812913501455,1649.3521258270027,1536.780874172997,0,0.0,1553.61,1708.971,1398.249,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-29,1549.78,1557.22,1562.8,1548.85,1965128.0,1591.4185,29.263469282944158,1649.9454385658883,1532.8915614341117,0,0.0,1548.52,1703.372,1393.6680000000001,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
2024-05-30,1558.15,1533.97,1558.51,1533.97,3220792.0,1588.8605000000002,31.954391589298563,1652.7692831785973,1524.9517168214031,0,0.0,1557.22,1712.9420000000002,1401.498,74325.49397785272,74325.49397785272,0,0.0,0.2767570402986983
